date,quad-band-top-diff,quad-band-high-diff,quad-band-mid-diff,quad-band-low-diff,quad-band-bottom-diff,is-new-high-long,is-new-high-med,is-new-high-short,is-new-low-long,is-new-low-med,is-new-low-short,slope-long,slope-med,slope-short,volume-sum-long,volume-sum-med,volume-sum-short,action
Thu Feb 01 2018 03:00:00 GMT-0500 (Eastern Standard Time),26.6018988464227,12.2686369232117,-2.0646249999995,-16.3978869232108,-30.7311488464218,0,0,0,0,0,0,0.1,0,0,0.2717551590782894,-0.17501206294009172,-0.4121887819113006,0
Thu Feb 01 2018 03:15:00 GMT-0500 (Eastern Standard Time),20.78976103436,6.4924430171802,-7.8048749999996,-22.1021930171794,-36.3995110343592,0,0,0,0,0,0,0.1,0,0,0.22153271281682502,-0.14522651455364488,-0.32748052871490824,0
Thu Feb 01 2018 03:30:00 GMT-0500 (Eastern Standard Time),34.8367267933034,20.559300896652,6.2818750000004,-7.995550896651,-22.2729767933026,0,0,0,0,0,0,0.1,0,0,0.21137064960070012,-0.2966647675561529,-0.6043980341571173,0
Thu Feb 01 2018 03:45:00 GMT-0500 (Eastern Standard Time),31.7958222514799,17.5512861257403,3.3067500000007,-10.937786125739,-25.1823222514786,0,0,0,0,0,0,0.1,0,0,0.16452338842484937,-0.22634232896556108,-0.49967616863954567,0
Thu Feb 01 2018 04:00:00 GMT-0500 (Eastern Standard Time),23.4740366599624,9.2313308299816,-5.0113749999995,-19.2540808299806,-33.4967866599615,0,0,0,0,0,0,0.1,0,0,0.18049860169548168,-0.021347231693181416,-0.3519418785577454,0
Thu Feb 01 2018 04:15:00 GMT-0500 (Eastern Standard Time),24.5859625681011,10.3429187840508,-3.9001249999995,-18.1431687840498,-32.3862125681001,0,0,0,0,0,0,0.1,0,0,0.2145683540122975,0.09403194186220618,-0.2929364458102198,0
Thu Feb 01 2018 04:30:00 GMT-0500 (Eastern Standard Time),41.2540604502354,26.987467725118,12.7208750000005,-1.545717725117,-15.8123104502344,0,0,0,0,0,0,0.1,0,0,0.23361867608724354,-0.010859797507607589,-0.5783789250015483,0
Thu Feb 01 2018 04:45:00 GMT-0500 (Eastern Standard Time),37.2757395029624,22.9781822514814,8.6806250000005,-5.6169322514803,-19.9144895029614,0,0,0,0,0,0,0.1,0,0,0.19992412743740728,0.04384499257843846,-0.8012025869080983,0
Thu Feb 01 2018 05:00:00 GMT-0500 (Eastern Standard Time),47.6926785832333,33.2403392916169,18.7880000000004,4.335660708384,-10.1166785832325,0,0,0,0,0,1,0.1,0,0,0.2196406618243584,0.017631729281825128,-0.896999969013107,0
Thu Feb 01 2018 05:15:00 GMT-0500 (Eastern Standard Time),53.947568837667,39.2390344188336,24.5305000000005,9.8219655811674,-4.886568837666,0,0,0,0,0,1,0.1,0,0,0.22944996714264587,-0.017423956052264468,-1.2225747877965392,0
Thu Feb 01 2018 05:30:00 GMT-0500 (Eastern Standard Time),44.2936863134319,29.511530656716,14.7293750000003,-0.0527806567154,-14.8349363134312,0,0,0,0,0,1,0.1,0,0,0.26629443011211135,0.11093161023869622,-0.9874844595037542,0
Thu Feb 01 2018 05:45:00 GMT-0500 (Eastern Standard Time),58.6599528992465,43.5821639496235,28.5043750000004,13.4265860503774,-1.6512028992456,0,0,0,0,0,1,0.1,0,0,0.2285554115987772,-0.14647424512252116,-1.1989728488359286,0
Thu Feb 01 2018 06:00:00 GMT-0500 (Eastern Standard Time),45.7048134055403,30.5733442027704,15.4418750000004,0.3104057972305,-14.8210634055395,0,0,0,0,0,0,0.1,0,0,0.20886292080534752,-0.0817456129598867,-0.407258334747752,0
Thu Feb 01 2018 06:15:00 GMT-0500 (Eastern Standard Time),28.1499043797673,13.1418271898837,-1.8662499999996,-16.874327189883,-31.8824043797666,0,0,0,0,0,0,0.1,0,0,0.23559823981376596,0.02102307309918374,-0.5351994698749184,0
